Sitio;casa;num_eventos_mon;cr_100_mon;num_eventos_rat;noches_trampa;cr_100_rat;num_eventos_ray;cr_100_ray;Altitud;Pendiente;Prom_sotob;PROM_BAMBU;Cob_dosel_Superior;Riqueza_ARB;DAP;Cavidades;Decay;Abundancia_tree
Kawelluco;30;0;0;0;1;0;0;0;420.1;0;17.2;0;1;1;21.2;1;1.5;4
Kawelluco;31;0;0;6;113;5.309734513;0;0;423.4;0;5.8;0;3;4;34.78571429;3;1.142857143;7
Kawelluco;34;0;0;33;75;44;3;4;420.3;0;9.8;0;3;4;25.475;0;1;4
Kawelluco;36;0;0;4;21;19.04761905;2;9.523809524;424.7;0;6.4;0;2;5;31.54811561;3;1.5;6
Kawelluco;38;2;1.204819277;31;166;18.6746988;9;5.421686747;422;0;5.6;0;2;5;18.7785587;1;1;10
Kawelluco;40;0;0;12;166;7.228915663;2;1.204819277;421.5;0;10;0;3;5;45.47379679;3;1;5
Kodkod;81;0;0;0;167;0;6;3.592814371;404.4;1;15.4;0;2;3;33.19107037;0;1.333333333;9
Kodkod;82;1;0.591715976;0;169;0;8;4.733727811;409.6;1;7.4;0;2;3;15.89158391;0;1;4
Kodkod;83;0;0;2;169;1.183431953;13;7.692307692;402.7;1;11.2;9.6;4;2;45.4088108;0;1;5
Kodkod;84;5;4.464285714;0;112;0;9;8.035714286;400;1;14;0;4;5;43.17961124;1;1.166666667;6
Kodkod;85;0;0;0;112;0;7;6.25;386.7;2;7.2;0;4;5;30.14979628;0;1;6
Kodkod;87;7;4.191616766;4;167;2.395209581;5;2.994011976;413.9;2;13.2;0;2;5;27.27199971;2;1.285714286;7
Kodkod;88;1;0.892857143;1;112;0.892857143;0;0;414.2;1;7.6;0;3;3;31.45772855;0;1.25;4
Kodkod;89;2;1.785714286;1;112;0.892857143;23;20.53571429;412.2;1;10.8;0;2;4;36.88601986;2;1.6;5
Kodkod;91;4;2.366863905;6;169;3.550295858;4;2.366863905;409.9;2;4.2;0;3;5;30.65317036;1;1.333333333;3
Kodkod;92;0;0;0;169;0;0;0;397.5;2;6.4;0;2;3;41.24211867;0;1;5
Kodkod;94;4;2.395209581;1;167;0.598802395;1;0.598802395;421.3;2;7.8;0;2;4;33.11959935;1;1.833333333;6
